시도,고령화율,사업체수,인구천명당사업체수,총인구
대구광역시,28.77,30560.0,186.7,163689
경상북도,28.81,26935.0,200.84,134111
충청북도,28.82,27341.0,213.32,128168
강원특별자치도,29.53,4657.0,208.13,22375
경상북도,29.66,35228.0,230.2,153030
강원특별자치도,29.69,8305.0,226.77,36623
부산광역시,30.95,16529.0,161.9,102096
부산광역시,31.0,26845.0,319.99,83894
경상북도,31.16,2404.0,290.48,8276
강원특별자치도,31.58,13192.0,222.58,59269
전라남도,31.97,13478.0,225.05,59890
전라남도,32.45,11761.0,221.54,53087
강원특별자치도,32.57,7696.0,207.17,37149
경기도,32.75,28497.0,224.2,127105
충청남도,32.84,47646.0,250.75,190013
전북특별자치도,33.27,27440.0,272.43,100722
경상북도,33.33,10052.0,221.87,45305
경상북도,33.34,22512.0,231.43,97273
경상남도,33.36,16682.0,289.49,57625
경상남도,33.39,13517.0,228.51,59152
충청남도,33.41,26849.0,251.12,106919
경기도,33.61,16744.0,269.2,62200
경기도,33.79,12980.0,309.21,41978
부산광역시,34.02,23880.0,652.85,36578
전북특별자치도,34.36,21760.0,292.31,74441
경상북도,34.45,12332.0,228.85,53886
전라남도,34.71,14497.0,327.45,44272
부산광역시,34.94,16358.0,160.73,101774
인천광역시,34.98,4452.0,246.03,18095
전라남도,35.04,10643.0,248.14,42891
강원특별자치도,35.21,7897.0,294.73,26794
강원특별자치도,35.47,15764.0,238.36,66136
경상북도,35.48,22345.0,233.92,95524
강원특별자치도,35.81,8557.0,259.63,32959
전북특별자치도,36.09,23242.0,284.65,81650
충청남도,36.11,18164.0,230.24,78891
경상남도,36.24,21459.0,218.92,98021
강원특별자치도,36.57,10542.0,385.66,27335
강원특별자치도,36.78,11671.0,305.92,38150
충청북도,36.9,12349.0,255.1,48409
강원특별자치도,37.36,8670.0,249.96,34685
경상북도,37.36,15209.0,238.87,63670
전라남도,37.37,12181.0,275.81,44164
경상북도,38.0,21921.0,249.64,87812
충청남도,38.07,14892.0,304.11,48969
전북특별자치도,38.43,6852.0,248.42,27582
전라남도,38.8,11631.0,265.72,43772
전라남도,38.88,9766.0,251.92,38766
강원특별자치도,38.93,9949.0,217.78,45684
전라남도,38.98,15924.0,256.09,62181
경상남도,39.09,11404.0,242.15,47094
충청남도,39.18,16411.0,275.74,59516
전라남도,39.41,7375.0,269.23,27393
전북특별자치도,39.57,6015.0,264.04,22781
전북특별자치도,39.87,13484.0,284.97,47318
경상북도,39.99,8792.0,297.07,29596
경상남도,40.06,11603.0,211.59,54836
충청북도,40.1,9631.0,225.34,42740
충청북도,40.31,6636.0,246.94,26873
전라남도,40.34,8847.0,258.83,34181
인천광역시,40.56,16816.0,242.32,69396
전라남도,40.63,9409.0,295.43,31849
전북특별자치도,40.87,13712.0,271.78,50452
경상북도,40.99,11710.0,287.58,40719
경상남도,41.0,8439.0,237.68,35506
전라남도,41.22,5355.0,225.05,23795
전북특별자치도,41.27,5946.0,291.1,20426
전라남도,41.53,5995.0,224.58,26694
전북특별자치도,41.7,7223.0,298.02,24237
충청남도,42.1,7349.0,246.65,29795
충청북도,42.52,7640.0,252.74,30229
전라남도,42.7,7498.0,254.07,29512
충청남도,42.92,14006.0,239.51,58477
경상북도,43.1,3730.0,236.18,15793
경상남도,43.28,10664.0,266.33,40040
전북특별자치도,43.32,8518.0,337.63,25229
경상남도,43.55,11023.0,272.6,40437
충청북도,43.62,8978.0,252.06,35618
충청남도,43.78,12961.0,274.18,47272
경상북도,44.17,9973.0,324.21,30761
경상남도,44.34,5331.0,216.47,24627
경상남도,44.62,8270.0,252.4,32766
전라남도,45.01,9616.0,270.54,35544
경상북도,45.26,5648.0,241.46,23391
경상북도,45.34,7053.0,249.09,28315
경상북도,45.79,9220.0,245.42,37568
전라남도,47.03,15146.0,257.51,58816
경상남도,47.23,9395.0,239.28,39264
대구광역시,48.31,5652.0,268.68,21036
경상북도,49.14,11578.0,241.95,47853
